player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active,global_rank_x,global_score_x,fdh_tier_x,fdh_tier_multiplier_x,final_multiplier_x,total_distance_km_x,avg_speed_kmh,minutes,goals_p90,assists_p90,xg_p90,attempt_at_goal_p90,attempt_on_target_p90,attempt_inside_box_p90,corners_p90,crosses_p90,passes_p90,linebreaks_p90,switches_p90,involvements_p90,forced_turnovers_p90,pressures_p90,direct_pressures_p90,fouls_drawn_p90,fouls_committed_p90,receptions_pressure_p90,offers_in_behind_p90,receptions_in_behind_p90,sprints_p90,speed_runs_p90,distance_p90,total_distance_km_y,global_rank_y,global_score_y,fdh_tier_y,fdh_tier_multiplier_y,final_multiplier_y,attacking_threat,chance_creation,ball_progression,defensive_actions,possession_security,physical_impact,global_rank_y,global_score_y,fdh_tier_y,fdh_tier_multiplier_y,final_multiplier_y,shoot,offense,dribble,pass,speed,defense,grade_shoot,grade_offense,grade_dribble,grade_pass,grade_speed,grade_defense,overall_score,overall_grade,ego_x,ego_y,blue_lock_rank,blue_lock_score,blue_lock_tier,blue_lock_multiplier,blue_lock_final_score
477790,285023_43843,Mohamed Amoura,Algeria,FW,0,0,0,0,0,0,0.0,0.0,0,0,2,32,1,1,0,0,0,0,0,8,88,0,0,0,0,0,0,,,,27,8,17,2,24,3,0,5,5,16,1.74,57,24,3799.52,,,,,,,Round of 16,0.0,31.0,619.0,0.0,False,,,None,1.0,1.0,3.79952,1.74,31.0,0.022085621977415242,0.016873415190745245,0.019778999618093995,0.19815220038136955,0.06714029081134235,0.12120589341205486,0.07332426496501862,0.27262491768921376,8.678815091405042,0.2995693765016604,0.07888984170332726,19.081192121927575,1.035010772517598,10.01399400617569,0.8772801682708933,0.36692561561678183,0.1700592892260974,3.800778489001324,2.9835515808450204,0.16025327306812498,11.51806412616563,30.496121301374668,2.4522051365690327,3.79952,,,None,1.0,1.0,25.42804218956693,22.335205990511568,28.121339731978644,24.078475647368457,39.79223520672185,19.835812057630463,,,None,1.0,1.0,38.66181410974243,41.65131341525956,25.71913655105505,51.92572651927845,25.63535948342649,29.88109371172292,C,C,E,B,E,D,35.101374615563834,C,34.62358536985403,38.425631232760445,,,None,1.0,39.33763818450871
520071,285023_43843,Nadhir Benbouali,Algeria,FW,2,2,50,2,0,2,0.16,6.14,0,0,6,19,4,0,0,0,0,0,0,8,75,1,0,0,0,0,0,,,,12,7,3,2,11,1,2,8,13,28,1.6,66,35,5586.09,,,,,,,Round of 16,1.0,52.0,82.0,0.0,False,,,None,1.0,1.0,5.58609,1.6,52.0,0.22876930493496989,0.018621765090596324,0.054531656237290255,0.6274744033406695,0.4828876094697044,0.542555254681458,0.08092180641463326,0.505268392877018,9.578076167147819,0.3306094524723149,0.08706406400996083,23.511045468100328,1.9598351549535977,8.394462045237612,1.581365924604462,0.20054958529506095,0.18768009319056506,5.829760761372707,3.088298953375598,0.5856485540010579,14.959863774482463,35.495554165201696,3.0714584201302157,5.58609,,,None,1.0,1.0,80.74345704488674,45.240323152520034,32.993789575769064,40.94040821544962,33.709506926709146,30.510965193465626,,,None,1.0,1.0,75.41993281075028,71.88930464016411,43.686635944700456,60.67999236916294,42.56610950587031,45.99280155275407,A,A,C,A,C,C,62.44840057174491,A,50.05019360390076,40.01741149158444,,,None,1.0,69.22138600248057
379942,285023_43843,Riyad Mahrez,Algeria,FW,3,6,33,4,2,0,1.49,1.34,5,0,22,102,13,1,7,0,0,0,1,147,86,9,33,9,67,6,100,,,,161,83,59,19,62,99,4,51,73,325,6.48,382,130,31107.72,34.0,339.0,119.0,6.100845336914063,4.727617740631104,5.95392370223999,Round of 16,2.0,288.0,30.0,1.0,True,101.0,5.8581307888031,B,1.1,1.1,31.10772,6.48,288.0,0.3829517384520816,0.1971646936305958,0.2885433989435803,1.2775433189320118,0.6076124167046932,0.8410649144916171,0.9750491795079884,1.8923098632969786,33.58529651836426,1.9185991275907555,1.1611810015661137,74.4539930064512,4.623874560593216,22.419599515478502,3.0243667655125,0.3580032745230145,1.430835109200206,15.996064396789766,16.463620638255044,0.8791627991403036,30.392352838425875,88.48257652521107,7.327211030871004,31.10772,101.0,5.8581307888031,B,1.1,1.1,103.84608809355561,102.61373244381745,96.18877544221503,99.41111204068295,87.85687721402266,89.36162300965617,101.0,5.8581307888031,B,1.1,1.1,96.79917879805899,98.50880358601303,86.38855202522437,100.73171248701698,92.6597417797447,101.27329602200993,S,S,A,S,A,S,88.01565037352785,S,51.506682250114345,46.60406705455383,90.0,5.9194460868835455,BL-B,1.05,102.01827810961898
389879,285023_43843,Luca Zidane,Algeria,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,104,88,0,0,0,0,0,0,9.0,34.0,32.0,8,0,0,8,6,2,0,1,3,199,1.99,42,13,13382.13,,,,,,,Round of 16,0.0,302.0,1124.0,0.0,False,,,None,1.0,1.0,13.38213,1.99,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477817,285023_43843,Oussama Benbot,Algeria,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,25,72,0,0,1,0,0,0,0.0,14.0,13.0,1,0,0,1,1,0,0,0,0,40,0.71,6,0,4787.6,,,,,,,Round of 16,0.0,100.0,814.0,0.0,False,,,None,1.0,1.0,4.7876,0.71,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477795,285023_43843,Fares Chaibi,Algeria,MF,3,9,0,4,5,1,0.64,0.0,4,0,30,140,16,3,2,1,0,0,1,244,90,7,0,10,50,3,100,,,,202,38,84,80,121,81,4,46,102,535,6.76,549,177,45534.2,,,,,,,Round of 16,0.0,403.0,1223.0,0.0,False,,,None,1.0,1.0,45.5342,6.76,403.0,0.01954428385659288,0.01493183286643696,0.12239525244881676,1.6503975059861293,0.551096686665635,0.7628351147937719,0.7204631073926786,1.3885127886561652,46.35915423036726,1.9040388787028015,0.5614942456773424,101.94656337152132,5.504947227228518,26.56226267651502,3.234744018885355,0.6524924313136388,0.4782790281901602,19.261152331123704,7.557062286777249,0.7973894086522282,35.26849410866641,107.62286619325606,9.010100462309119,45.5342,,,None,1.0,1.0,71.8123304254901,71.9845441114069,94.48482786601123,90.34702828045306,85.59460152316588,95.72375771424561,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
441350,285023_43843,Hicham Boudaoui,Algeria,MF,0,0,0,0,0,0,0.0,0.0,0,0,6,54,8,4,1,1,0,0,0,86,97,0,0,4,75,1,100,,,,71,17,24,30,32,39,1,5,29,186,5.55,248,79,17473.1,,,,,,,Round of 16,0.0,143.0,887.0,0.0,False,,,None,1.0,1.0,17.4731,5.55,143.0,0.024633507569798124,0.018819999783325766,0.022060784039208407,0.2210118299162288,0.0748858630121863,0.1351886895430521,0.08178324513172978,0.3040760174415881,25.792585264423437,1.160413378146877,0.2945620094068527,56.399565144739405,1.9806982319955682,15.713813012804504,2.4244845561474637,1.028968981754434,0.39624912865497947,9.196958369973684,5.186886095024627,0.38531185129398904,24.208245643338717,73.46935968934382,5.559668058718485,17.4731,,,None,1.0,1.0,55.31675446071623,60.898858468223104,79.58426848493477,60.97179506400423,85.82223605166894,58.836052660343775,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
430698,285023_43843,Houssem Aouar,Algeria,MF,1,3,0,1,2,0,0.24,0.0,0,0,8,61,7,1,2,0,0,0,0,84,94,1,100,3,100,0,0,,,,106,43,46,17,62,44,4,29,55,185,5.03,253,83,21136.93,115.0,331.0,50.0,5.178653240203857,4.798859596252441,6.383292198181152,Round of 16,0.0,191.0,173.0,2.0,True,131.15,5.422843933105469,B,1.1,1.1,21.13693,5.03,191.0,0.02360611516400054,0.41394634390917395,0.06865004512713763,0.8056609731372292,0.26971822606050044,0.32750599598197366,0.07837230234448181,0.48934952154636147,24.320939805986697,0.9140602539703195,0.08432104336580995,53.849346650724954,2.2940003052106146,16.444124739310173,2.1254106765126926,0.39218675153133514,0.5776783586866817,13.960226352113597,10.11740260197606,0.963108515477743,23.99041222726373,71.39494321519413,6.053066170062218,21.13693,131.15,5.422843933105469,B,1.1,1.1,73.73226818582951,88.25010935753994,85.91544583477076,73.58603095831941,87.91105331489764,70.4474652877433,131.15,5.422843933105469,B,1.1,1.1,,,,,,,,,,,,,,,,,,,,,
494291,285023_43843,Ibrahim Maza,Algeria,MF,3,11,0,7,4,1,1.06,0.0,0,0,25,153,14,1,5,0,0,0,0,141,79,1,0,13,46,1,100,,,,212,39,122,51,153,59,4,59,136,342,6.85,524,152,44461.44,,,,,,,Round of 16,0.0,389.0,1208.0,0.0,False,,,None,1.0,1.0,44.46144,6.85,389.0,0.019763026139265248,0.01509895197039865,0.19337102183478977,2.0003256701446985,0.557264635724242,1.2685579053943306,0.06561324678236062,0.40968314008338214,29.80799261042036,2.422534177016788,0.23632187478974734,71.10199250596648,4.737917618090067,29.014019622950755,2.9394910229841016,0.3283385244941663,0.9808170283738017,25.111489511551014,7.807370300965976,0.806313899347676,31.520015255245458,104.68418731138894,8.933155992097912,44.46144,,,None,1.0,1.0,67.84424488592146,63.032631615425686,77.88128961390028,92.07249029783749,67.952899311587,92.55795037909907,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
379939,285023_43843,Nabil Bentaleb,Algeria,MF,0,1,0,0,1,0,0.02,0.0,0,0,16,42,12,2,3,0,0,0,0,280,91,1,0,3,67,1,0,,,,92,1,25,66,73,19,0,7,56,589,6.59,405,115,33625.87,,,,,,,Round of 16,0.0,313.0,1169.0,0.0,False,,,None,1.0,1.0,33.625870000000006,6.59,313.0,0.02107081239907093,0.016098100672890185,0.022404079759629023,0.3657424792203178,0.06405526969317563,0.11563661844610125,0.06995509716491548,0.436793258629985,56.34111416659859,0.8158899505085582,0.2519600922653348,119.45075389372043,3.4611852927264977,11.320813708106702,2.780616781847528,0.5267609451712624,0.6923307066004064,12.63758964616046,1.6095946767622726,0.15288981476765862,27.068080672149602,90.58477103559945,7.609700457160737,33.625870000000006,,,None,1.0,1.0,44.69453457147729,49.64026809548818,82.96377083951796,71.31352621252509,75.71942003308135,78.07958698463467,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
433679,285023_43843,Ramiz Zerrouki,Algeria,MF,0,0,0,0,0,0,0.0,0.0,0,0,4,23,5,4,0,1,0,0,0,105,92,0,0,2,100,5,100,,,,56,8,12,36,39,17,1,4,37,226,5.59,201,54,15442.6,,,,,,,Round of 16,0.0,126.0,865.0,0.0,False,,,None,1.0,1.0,15.4426,5.59,126.0,0.02494282726973805,0.019056320034079866,0.0223377983896866,0.22378704626408974,0.07582619490000367,0.1368862360563224,0.08281018653553032,0.3078942598176464,30.09059447587264,0.7566545223537646,1.1349208121750987,65.47436729801194,1.5872395847350327,9.427014081035894,1.8274334684921059,1.0418896093094803,0.19205976997698296,10.985763414178383,3.3695320787194176,0.39015016130273816,19.283100219616326,64.56114942031128,5.204770530011207,15.4426,,,None,1.0,1.0,52.114425441411235,54.86041391724207,73.65641212293636,49.55611198622431,84.37663872719502,50.27517076348157,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
431196,285023_43922,Cristian Romero,Argentina,DF,1,1,0,1,0,1,0.12,0.0,0,0,7,27,15,5,2,0,0,0,0,230,97,0,0,1,0,0,0,,,,13,0,1,12,9,4,0,3,47,475,3.77,152,37,24053.86,265.0,47.0,223.0,4.575924396514893,6.41933536529541,5.517880439758301,Round of 16,0.0,286.0,1087.0,0.0,True,221.8,5.087925052642822,C,1.0,1.0,24.05386,3.77,286.0,0.021587846901884877,0.016493115033040046,0.04105691858983942,0.37471704922360616,0.24665794140162506,0.29950499061743924,0.07167165171425778,0.26648038215686687,48.672065165574494,0.47384844219706146,0.07711178913353278,101.7443092056705,1.916837696710785,8.883139945962803,3.3919400728158897,1.0827792384081838,0.5282881947843036,11.31841218467201,1.468059940715779,0.15664141712007665,13.611866661133767,47.00672108797136,6.063597433714844,24.05386,221.8,5.087925052642822,C,1.0,1.0,50.25365662201418,43.335127539173776,76.4874028075179,55.16311142477717,92.06830751024494,46.57610297379209,221.8,5.087925052642822,C,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
418963,285023_43922,Facundo Medina,Argentina,DF,0,0,0,0,0,0,0.0,0.0,0,0,12,58,14,3,2,1,0,0,1,139,94,4,50,1,100,0,0,,,,124,41,33,50,25,99,5,19,41,281,4.64,328,103,28709.21,,,,,,,Round of 16,0.0,277.0,223.0,1.0,False,,,None,1.0,1.0,28.70921,4.64,277.0,0.02176646877200791,0.19915835227081194,0.0194931787734594,0.19528875782245497,0.06617006506690405,0.11945438062077941,0.07226467632306627,0.9988003710376572,32.46466882547756,0.4777691525525132,0.07774982645361225,67.1755791843096,2.845341819835237,14.615032576054928,3.23747684724561,0.7266808154430747,0.5326593498024567,10.31689021652855,8.96388651766054,1.0705813480546789,25.77139261221004,79.52072700493058,6.963504079403778,28.70921,,,None,1.0,1.0,51.63369874735426,71.70054958035647,75.52549199201815,72.84133468612247,81.19359707123073,68.41357804842974,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
402926,285023_43922,Gonzalo Montiel,Argentina,DF,0,1,0,1,0,0,0.15,0.0,0,0,1,8,4,2,0,1,0,0,0,27,85,0,0,0,0,0,0,,,,15,6,6,3,1,14,1,3,8,59,3.17,87,26,7543.26,,,,,,,Round of 16,0.0,72.0,733.0,0.0,False,,,None,1.0,1.0,7.54326,3.17,72.0,0.025140006838311264,0.0192069652244698,0.05413716112580182,0.43637465203122056,0.07642562078846625,0.34878686820654414,0.08346482270319339,0.3103282444121142,13.8846246567446,0.3409990527548539,0.08980010442644783,30.785268000540476,0.9673315964563546,6.339259431003078,1.6310612969968894,0.6284889976214089,0.19357805265499672,4.9588719355250825,2.974532089099871,0.39323440029667844,13.532619867662756,41.03821196276812,3.580588507220746,7.54326,,,None,1.0,1.0,65.86472934567452,47.527377067791825,38.63766750015602,32.35742602700592,45.6672620633517,31.7755950192891,,,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
